nlayers,nhidden/embed,lr,batch_size,dropout,valid loss,valid ppl,test loss,test ppl,switch valid loss,switch valid ppl,switch test loss,switch test ppl
2,800,10,20,0.4,3.18,24.03,3.54,34.36,3.34,28.14,3.33,27.92
2,800,20,20,0.4,3.19,24.19,3.54,34.47,3.34,28.26,3.33,28.01
2,800,20,80,0.4,3.19,24.18,3.55,34.67,3.34,28.32,3.34,28.14
2,800,05,20,0.4,3.19,24.32,3.55,34.89,3.35,28.55,3.34,28.25
2,800,10,80,0.4,3.20,24.55,3.55,34.94,3.36,28.83,3.34,28.33
2,800,05,80,0.4,3.22,24.94,3.57,35.43,3.37,29.22,3.36,28.81
2,800,10,20,0.2,3.22,24.95,3.58,35.86,3.38,29.37,3.37,28.96
2,800,20,20,0.2,3.22,24.92,3.58,36.00,3.38,29.33,3.37,28.99
2,800,20,80,0.2,3.22,25.12,3.59,36.07,3.39,29.68,3.37,29.11
2,800,20,20,0.1,3.24,25.60,3.61,36.95,3.41,30.34,3.39,29.64
2,800,05,20,0.2,3.24,25.49,3.61,37.09,3.41,30.29,3.39,29.77
2,800,10,80,0.2,3.25,25.71,3.62,37.32,3.42,30.49,3.40,30.04
2,800,05,80,0.2,3.26,26.14,3.63,37.60,3.43,30.81,3.41,30.29
2,800,10,20,0.1,3.26,26.16,3.64,38.19,3.44,31.13,3.42,30.60
2,800,05,20,0.1,3.27,26.42,3.65,38.33,3.45,31.47,3.43,30.78
2,800,05,80,0.1,3.29,26.89,3.66,38.77,3.47,31.98,3.44,31.20
2,800,20,80,0.1,3.28,26.62,3.66,38.92,3.46,31.82,3.44,31.21
2,800,10,80,0.1,3.29,26.73,3.67,39.10,3.46,31.89,3.44,31.33
2,200,10,20,0.1,3.32,27.75,3.67,39.15,3.48,32.44,3.46,31.79
2,200,05,20,0.1,3.32,27.77,3.67,39.36,3.48,32.60,3.46,31.90
2,200,20,20,0.1,3.32,27.66,3.68,39.66,3.48,32.48,3.46,31.97
2,200,10,20,0.2,3.33,28.00,3.67,39.31,3.48,32.57,3.47,31.98
2,200,10,80,0.1,3.32,27.72,3.68,39.47,3.48,32.58,3.47,31.99
2,200,05,20,0.2,3.33,28.03,3.68,39.62,3.49,32.81,3.47,32.15
2,200,20,80,0.1,3.33,27.85,3.68,39.82,3.49,32.74,3.47,32.27
2,200,20,80,0.2,3.34,28.11,3.68,39.53,3.49,32.78,3.47,32.27
2,200,10,80,0.2,3.34,28.15,3.68,39.77,3.50,32.95,3.48,32.30
2,200,20,20,0.2,3.35,28.41,3.69,39.97,3.50,33.11,3.48,32.45
2,200,05,80,0.1,3.34,28.17,3.70,40.31,3.50,33.16,3.49,32.62
2,800,05,20,0.0,3.33,28.00,3.71,41.03,3.51,33.53,3.49,32.76
2,200,05,80,0.2,3.36,28.71,3.70,40.60,3.52,33.68,3.49,32.92
2,800,10,20,0.0,3.34,28.25,3.73,41.63,3.53,34.02,3.50,33.09
2,200,10,20,0.0,3.36,28.86,3.72,41.41,3.53,34.16,3.50,33.27
2,200,20,20,0.0,3.36,28.93,3.72,41.40,3.53,34.09,3.51,33.31
2,200,20,80,0.0,3.37,28.97,3.72,41.39,3.53,34.29,3.51,33.33
2,800,05,80,0.0,3.35,28.61,3.73,41.61,3.53,34.17,3.51,33.37
2,200,10,80,0.0,3.36,28.83,3.73,41.65,3.53,34.27,3.51,33.47
2,800,10,80,0.0,3.35,28.62,3.74,42.07,3.54,34.41,3.51,33.48
2,800,20,20,0.0,3.35,28.58,3.73,41.76,3.52,33.93,3.51,33.56
2,200,05,80,0.0,3.38,29.31,3.74,41.90,3.55,34.73,3.52,33.70
2,200,05,20,0.0,3.38,29.30,3.74,42.12,3.55,34.66,3.52,33.87
2,800,20,80,0.0,3.37,29.03,3.75,42.45,3.54,34.60,3.53,34.10
2,200,05,20,0.4,3.40,30.02,3.74,42.11,3.56,35.04,3.53,34.21
2,200,10,20,0.4,3.42,30.53,3.75,42.71,3.57,35.47,3.55,34.80
2,200,20,80,0.4,3.43,30.76,3.76,42.83,3.58,35.92,3.55,34.83
2,200,10,80,0.4,3.42,30.51,3.76,42.87,3.57,35.64,3.55,34.87
2,200,05,80,0.4,3.44,31.18,3.78,43.64,3.60,36.53,3.57,35.49
2,200,20,20,0.4,3.46,31.83,3.79,44.22,3.61,36.95,3.58,35.99
2,200,05,20,0.6,3.58,35.93,3.92,50.19,3.74,42.00,3.71,40.71
2,200,10,20,0.6,3.60,36.73,3.93,51.11,3.76,42.94,3.73,41.50
